_id,base,date,currency,rate
686cf69287a0da11de4517ed,USD,"Tue, 08 Jul 2025 00:02:31 +0000",IDR,16253.621561
686cf69287a0da11de4517ee,USD,"Tue, 08 Jul 2025 00:02:31 +0000",ILS,3.347304
686cf69287a0da11de4517ef,USD,"Tue, 08 Jul 2025 00:02:31 +0000",IMP,0.734326
686cf69287a0da11de4517f0,USD,"Tue, 08 Jul 2025 00:02:31 +0000",INR,85.868157
686cf69287a0da11de4517f1,USD,"Tue, 08 Jul 2025 00:02:31 +0000",IQD,1308.988258
686cf69287a0da11de4517f2,USD,"Tue, 08 Jul 2025 00:02:31 +0000",IRR,42427.858386
686cf69287a0da11de4517f3,USD,"Tue, 08 Jul 2025 00:02:31 +0000",ISK,121.479199
686cf69287a0da11de4517f4,USD,"Tue, 08 Jul 2025 00:02:31 +0000",JEP,0.734326
686cf69287a0da11de4517f5,USD,"Tue, 08 Jul 2025 00:02:31 +0000",JMD,159.745047
686cf69287a0da11de4517f6,USD,"Tue, 08 Jul 2025 00:02:31 +0000",JOD,0.709
686cf69287a0da11de4517f7,USD,"Tue, 08 Jul 2025 00:02:31 +0000",JPY,145.845774
686cf69287a0da11de4517f8,USD,"Tue, 08 Jul 2025 00:02:31 +0000",KES,129.244566
686cf69287a0da11de4517f9,USD,"Tue, 08 Jul 2025 00:02:31 +0000",KGS,87.364034
686cf69287a0da11de4517fa,USD,"Tue, 08 Jul 2025 00:02:31 +0000",KHR,4013.072746
686cf69287a0da11de4517fb,USD,"Tue, 08 Jul 2025 00:02:31 +0000",KID,1.537628
686cf69287a0da11de4517fc,USD,"Tue, 08 Jul 2025 00:02:31 +0000",KMF,419.326781
686cf69287a0da11de4517fd,USD,"Tue, 08 Jul 2025 00:02:31 +0000",KRW,1371.11441
686cf69287a0da11de4517fe,USD,"Tue, 08 Jul 2025 00:02:31 +0000",KWD,0.30534
686cf69287a0da11de4517ff,USD,"Tue, 08 Jul 2025 00:02:31 +0000",KYD,0.833333
